UNDERLYING,SYMBOL,Jun-24
AARTI INDUSTRIES LTD,AARTIIND,1000
ABB INDIA LIMITED,ABB,125
ABBOTT INDIA LIMITED,ABBOTINDIA,20
ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,5400
ADITYA BIRLA FASHION & RT,ABFRL,2600
ACC LIMITED,ACC,300
ADANI ENTERPRISES LIMITED,ADANIENT,300
ADANI PORT & SEZ LTD,ADANIPORTS,400
ALKEM LABORATORIES LTD.,ALKEM,100
AMBUJA CEMENTS LTD,AMBUJACEM,900
APOLLO HOSPITALS ENTER. L,APOLLOHOSP,125
APOLLO TYRES LTD,APOLLOTYRE,1700
ASHOK LEYLAND LTD,ASHOKLEY,5000
ASIAN PAINTS LIMITED,ASIANPAINT,200
ASTRAL LIMITED,ASTRAL,367
ATUL LTD,ATUL,75
AU SMALL FINANCE BANK LTD,AUBANK,1000
AUROBINDO PHARMA LTD,AUROPHARMA,550
AXIS BANK LIMITED,AXISBANK,625
BAJAJ AUTO LIMITED,BAJAJ-AUTO,125
BAJAJ FINSERV LTD.,BAJAJFINSV,500
BAJAJ FINANCE LIMITED,BAJFINANCE,125
BALKRISHNA IND. LTD,BALKRISIND,300
BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,1600
BANDHAN BANK LIMITED,BANDHANBNK,2500
BANK OF BARODA,BANKBARODA,2925
BATA INDIA LTD,BATAINDIA,375
BHARAT ELECTRONICS LTD,BEL,2850
BERGER PAINTS (I) LTD,BERGEPAINT,1320
BHARAT FORGE LTD,BHARATFORG,500
BHARTI AIRTEL LIMITED,BHARTIARTL,475
BHEL,BHEL,2625
BIOCON LIMITED.,BIOCON,2500
BOSCH LIMITED,BOSCHLTD,25
BHARAT PETROLEUM CORP LT,BPCL,900
BRITANNIA INDUSTRIES LTD,BRITANNIA,200
BIRLASOFT LIMITED,BSOFT,1000
CANARA BANK,CANBK,1350
CAN FIN HOMES LTD,CANFINHOME,975
CHAMBAL FERTILIZERS LTD,CHAMBLFERT,1900
CHOLAMANDALAM IN & FIN CO,CHOLAFIN,625
CIPLA LTD,CIPLA,650
COAL INDIA LTD,COALINDIA,2100
COFORGE LIMITED,COFORGE,150
COLGATE PALMOLIVE LTD.,COLPAL,350
CONTAINER CORP OF IND LTD,CONCOR,1000
COROMANDEL INTERNTL. LTD,COROMANDEL,700
CROMPT GREA CON ELEC LTD,CROMPTON,1800
CITY UNION BANK LTD,CUB,5000
CUMMINS INDIA LTD,CUMMINSIND,300
DABUR INDIA LTD,DABUR,1250
DALMIA BHARAT LIMITED,DALBHARAT,250
DEEPAK NITRITE LTD,DEEPAKNTR,300
DIVI S LABORATORIES LTD,DIVISLAB,200
DIXON TECHNO (INDIA) LTD,DIXON,100
DLF LIMITED,DLF,825
DR. REDDY S LABORATORIES,DRREDDY,125
EICHER MOTORS LTD,EICHERMOT,175
ESCORTS KUBOTA LIMITED,ESCORTS,275
EXIDE INDUSTRIES LTD,EXIDEIND,1800
FEDERAL BANK LTD,FEDERALBNK,5000
GAIL (INDIA) LTD,GAIL,4575
GLENMARK PHARMACEUTICALS,GLENMARK,725
GMR AIRPORTS INFRA LTD,GMRINFRA,11250
GUJ NAR VAL FER & CHEM L,GNFC,1300
GODREJ CONSUMER PRODUCTS,GODREJCP,500
GODREJ PROPERTIES LTD,GODREJPROP,475
GRANULES INDIA LIMITED,GRANULES,2000
GRASIM INDUSTRIES LTD,GRASIM,477
GUJARAT GAS LIMITED,GUJGASLTD,1250
HINDUSTAN AERONAUTICS LTD,HAL,300
HAVELLS INDIA LIMITED,HAVELLS,500
HCL TECHNOLOGIES LTD,HCLTECH,350
HDFC AMC LIMITED,HDFCAMC,150
HDFC BANK LTD,HDFCBANK,550
HDFC LIFE INS CO LTD,HDFCLIFE,1100
HERO MOTOCORP LIMITED,HEROMOTOCO,150
HINDALCO INDUSTRIES LTD,HINDALCO,1400
HINDUSTAN COPPER LTD,HINDCOPPER,2650
HINDUSTAN PETROLEUM CORP,HINDPETRO,1350
HINDUSTAN UNILEVER LTD.,HINDUNILVR,300
ICICI BANK LTD.,ICICIBANK,700
ICICI LOMBARD GIC LIMITED,ICICIGI,500
ICICI PRU LIFE INS CO LTD,ICICIPRULI,1500
VODAFONE IDEA LIMITED,IDEA,40000
IDFC LIMITED,IDFC,5000
IDFC FIRST BANK LIMITED,IDFCFIRSTB,7500
INDIAN ENERGY EXC LTD,IEX,3750
INDRAPRASTHA GAS LTD,IGL,1375
THE INDIAN HOTELS CO. LTD,INDHOTEL,1000
THE INDIA CEMENTS LIMITED,INDIACEM,2900
INDIAMART INTERMESH LTD,INDIAMART,300
INTERGLOBE AVIATION LTD,INDIGO,300
INDUSIND BANK LIMITED,INDUSINDBK,500
INDUS TOWERS LIMITED,INDUSTOWER,3400
INFOSYS LIMITED,INFY,400
INDIAN OIL CORP LTD,IOC,4875
IPCA LABORATORIES LTD,IPCALAB,650
INDIAN RAIL TOUR CORP LTD,IRCTC,875
ITC LTD,ITC,1600
JINDAL STEEL & POWER LTD,JINDALSTEL,625
JK CEMENT LIMITED,JKCEMENT,125
JSW STEEL LIMITED,JSWSTEEL,675
JUBILANT FOODWORKS LTD,JUBLFOOD,1250
KOTAK MAHINDRA BANK LTD,KOTAKBANK,400
L&T FINANCE HOLDINGS LTD,L&TFH,4462
DR. LAL PATH LABS LTD.,LALPATHLAB,300
LAURUS LABS LIMITED,LAURUSLABS,1700
LIC HOUSING FINANCE LTD,LICHSGFIN,1000
LARSEN & TOUBRO LTD.,LT,150
LTIMINDTREE LIMITED,LTIM,150
L&T TECHNOLOGY SER. LTD.,LTTS,100
LUPIN LIMITED,LUPIN,425
MAHINDRA & MAHINDRA LTD,M&M,350
M&M FIN. SERVICES LTD,M&MFIN,2000
MANAPPURAM FINANCE LTD,MANAPPURAM,3000
MARICO LIMITED,MARICO,1200
MARUTI SUZUKI INDIA LTD.,MARUTI,50
UNITED SPIRITS LIMITED,MCDOWELL-N,700
MULTI COMMODITY EXCHANGE,MCX,200
METROPOLIS HEALTHCARE LTD,METROPOLIS,400
MAX FINANCIAL SERV LTD,MFSL,800
MAHANAGAR GAS LTD.,MGL,400
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON,7100
MPHASIS LIMITED,MPHASIS,275
MRF LTD,MRF,5
MUTHOOT FINANCE LIMITED,MUTHOOTFIN,550
NATIONAL ALUMINIUM CO LTD,NATIONALUM,3750
INFO EDGE (I) LTD,NAUKRI,150
NAVIN FLUORINE INT. LTD,NAVINFLUOR,150
NESTLE INDIA LIMITED,NESTLEIND,200
NMDC LTD.,NMDC,4500
NTPC LTD,NTPC,1500
OBEROI REALTY LIMITED,OBEROIRLTY,700
ORACLE FIN SERV SOFT LTD.,OFSS,200
OIL AND NATURAL GAS CORP.,ONGC,1925
PAGE INDUSTRIES LTD,PAGEIND,15
PIRAMAL ENTERPRISES LTD,PEL,750
PERSISTENT SYSTEMS LTD,PERSISTENT,200
PETRONET LNG LIMITED,PETRONET,3000
POWER FIN CORP LTD.,PFC,3875
PIDILITE INDUSTRIES LTD,PIDILITIND,250
PI INDUSTRIES LTD,PIIND,250
PUNJAB NATIONAL BANK,PNB,8000
POLYCAB INDIA LIMITED,POLYCAB,100
POWER GRID CORP. LTD.,POWERGRID,3600
PVR INOX LIMITED,PVRINOX,407
THE RAMCO CEMENTS LIMITED,RAMCOCEM,850
RBL BANK LIMITED,RBLBANK,2500
REC LIMITED,RECLTD,2000
RELIANCE INDUSTRIES LTD,RELIANCE,250
STEEL AUTHORITY OF INDIA,SAIL,4000
SBI CARDS & PAY SER LTD,SBICARD,800
SBI LIFE INSURANCE CO LTD,SBILIFE,375
STATE BANK OF INDIA,SBIN,750
SHREE CEMENT LIMITED,SHREECEM,25
SHRIRAM FINANCE LIMITED,SHRIRAMFIN,300
SIEMENS LTD,SIEMENS,150
SRF LTD,SRF,375
SUN PHARMACEUTICAL IND L,SUNPHARMA,350
SUN TV NETWORK LIMITED,SUNTV,1500
SYNGENE INTERNATIONAL LTD,SYNGENE,1000
TATA CHEMICALS LTD,TATACHEM,550
TATA COMMUNICATIONS LTD,TATACOMM,500
TATA CONSUMER PRODUCT LTD,TATACONSUM,450
TATA MOTORS LIMITED,TATAMOTORS,1425
TATA POWER CO LTD,TATAPOWER,3375
TATA STEEL LIMITED,TATASTEEL,5500
TATA CONSULTANCY SERV LT,TCS,175
TECH MAHINDRA LIMITED,TECHM,600
TITAN COMPANY LIMITED,TITAN,175
TORRENT PHARMACEUTICALS L,TORNTPHARM,250
TRENT LTD,TRENT,200
TVS MOTOR COMPANY LTD,TVSMOTOR,350
UNITED BREWERIES LTD,UBL,400
ULTRATECH CEMENT LIMITED,ULTRACEMCO,100
UPL LIMITED,UPL,1300
VEDANTA LIMITED,VEDL,2300
VOLTAS LTD,VOLTAS,600
WIPRO LTD,WIPRO,1500
ZEE ENTERTAINMENT ENT LTD,ZEEL,3000
ZYDUS LIFESCIENCES LTD,ZYDUSLIFE,900
